Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-17009.7	-17004.8	-4.85823	55.1633	0.102941	0.0623585	0.0339009	0.138712	0.0508918	0.191974	0.0792224	0.105375	0.0279323	0.207147	0.151911	0.00496401	0.0923136	0.154105	0.0583146	0.166011	0.101609	0.0381009	0.0541218	0.0050837	0.0933879	0.291377	0.230389	0.705625	0.0290694	0.048579	0.030639	0.0430809	0.143007	0.834424	0.951262	1.03839	1.17593	0.321296	0.231356	0.141256	0.306092	2.44214
10	-13058.7	-13064.6	5.8963	6.88903	0.0242276	0.0209422	0.0617548	0.0631259	0.122793	0.11468	0.0497772	0.0220888	0.0264087	0.384337	0.0629965	0.00686561	0.0336219	0.0484497	0.0103386	0.17871	0.0146138	0.185824	0.0107359	0.00283625	0.0223681	0.0499109	0.0906555	0.0664704	0.0948552	0.0829816	0.0363173	0.595227	0.124148	0.565582	0.838635	1.07921	1.51657	0.340012	0.193705	0.210004	0.256279	1.60806
20	-12320.9	-12326.5	5.59542	0.591104	0.0101682	0.0132522	0.0546692	0.0303805	0.145311	0.0373607	0.0285968	0.0187719	0.0101643	0.503963	0.0223376	0.00870953	0.0425678	0.0392966	0.0129555	0.206053	0.0106819	0.366541	0.00654553	0.00235477	0.0422703	0.0163494	0.0403372	0.0578176	0.253673	0.0671283	0.0446474	0.499585	0.0771483	0.0512785	0.307291	0.876712	2.76472	0.340012	0.193705	0.210004	0.256279	1.66964
30	-12062.5	-12072	9.47921	0.773998	0.00287148	0.00299167	0.0194333	0.0136039	0.1504	0.0449053	0.00955603	0.0281694	0.0046977	0.527199	0.0123012	0.00370194	0.0231241	0.0130795	0.0249392	0.11766	0.0235713	0.172462	0.0100768	0.00708473	0.0375091	0.00819845	0.0228093	0.0817783	0.218424	0.06026	0.0559962	0.524046	0.059495	0.090015	0.396451	0.949481	2.56405	0.344318	0.172773	0.220888	0.262021	1.28035
40	-11989	-11998.2	9.15783	0.846825	0.00277042	0.00310101	0.0262611	0.00608439	0.146014	0.0412057	0.00628068	0.0297646	0.00795996	0.511331	0.00383341	0.00208647	0.024154	0.00868697	0.0559523	0.125436	0.0708739	0.134122	0.0191163	0.0141207	0.0394844	0.0100196	0.0234611	0.082887	0.221386	0.0610771	0.0567554	0.492202	0.0856927	0.105476	0.425324	0.96913	2.50007	0.321547	0.161347	0.20628	0.310826	1.31212
50	-11952.5	-11961.2	8.63063	0.811398	0.0020286	0.00339891	0.0156031	0.00188885	0.118959	0.0424704	0.0015319	0.0367794	0.00795463	0.563024	0.00146287	0.00133484	0.0283692	0.00578377	0.136694	0.135395	0.0712575	0.0951469	0.0085199	0.0229162	0.0249851	0.0111625	0.0283497	0.108563	0.22153	0.0578429	0.0567923	0.492523	0.0627499	0.0979818	0.411683	0.960064	2.53027	0.335117	0.168157	0.214985	0.281741	1.36502
60	-11952.4	-11960.1	7.72878	0.771281	0.00178349	0.00364658	0.0223262	0.00448337	0.130185	0.0361798	0.00159148	0.0384079	0.0118378	0.570821	0.00248758	0.000339344	0.033088	0.00397871	0.169581	0.126265	0.0789913	0.101139	0.011346	0.0286611	0.0303531	0.00370606	0.044203	0.111682	0.224389	0.0651958	0.0555554	0.481796	0.0613832	0.0894347	0.395309	0.948668	2.56659	0.333137	0.173071	0.213715	0.280076	1.4554
70	-11938.4	-11946.6	8.26583	0.783184	0.000563992	0.00244498	0.0212147	0.00275933	0.120819	0.0424141	0.000964981	0.0247203	0.00935816	0.57186	0.00116004	0.00313037	0.0272101	0.00533243	0.143493	0.141237	0.0675396	0.105431	0.00725775	0.0332468	0.0376528	0.00323589	0.0285905	0.107312	0.28192	0.0605778	0.0685044	0.424816	0.0568699	0.0919757	0.400275	0.952184	2.55557	0.29827	0.192306	0.220481	0.288943	1.40164
80	-11947.1	-11953	5.85761	0.687765	0.000159704	0.00357632	0.0277599	0.00405213	0.17944	0.0476247	0.00374248	0.0408051	0.004558	0.672226	0.000554283	0.00324759	0.0262329	0.00943989	0.243977	0.136709	0.0746969	0.05378	0.00317635	0.0332138	0.0336892	0.0144065	0.0258686	0.0897638	0.23582	0.0506719	0.0547072	0.504385	0.0646518	0.071577	0.3577	0.920249	2.65047	0.29827	0.192306	0.220481	0.288943	1.64294
90	-11931	-11940.1	9.08158	0.97808	0.000550729	0.0036066	0.0254108	0.00311609	0.114097	0.0339846	0.000961707	0.0356724	0.00652762	0.518163	0.000283231	0.00164708	0.0244266	0.0136278	0.165051	0.112031	0.096041	0.0575741	0.00396883	0.0360438	0.0404803	0.00777279	0.0180511	0.0945759	0.248462	0.0725456	0.0731733	0.436727	0.0745162	0.13256	0.470063	0.996271	2.40111	0.29827	0.192306	0.220481	0.288943	1.31909
